0.359997	0.600041	-4.80025	0.0016588	
0.119984	0.600207	-4.80057	0.00497648	
-0.120044	0.600581	-4.801	0.00995308	
-0.360093	0.601244	-4.80155	0.0165887	
-0.60017	0.602281	-4.80221	0.0248832	
-0.840279	0.603774	-4.80296	0.0348368	
-1.08042	0.605806	-4.8038	0.0464493	
-1.32061	0.608459	-4.80472	0.0597206	
-1.56084	0.611818	-4.8057	0.0746505	
-1.80112	0.615965	-4.80673	0.0912385	
-2.04145	0.620982	-4.80778	0.109484	
-2.28182	0.626953	-4.80884	0.129387	
-2.52225	0.63396	-4.80989	0.150946	
-2.76273	0.642086	-4.81089	0.174159	
-3.00325	0.651414	-4.81184	0.199026	
-3.24381	0.662026	-4.8127	0.225545	
-3.48441	0.674004	-4.81344	0.253712	
-3.72504	0.687432	-4.81403	0.283526	
-3.9657	0.702391	-4.81445	0.314984	
-4.20636	0.718963	-4.81465	0.348081	
-4.44703	0.73723	-4.81461	0.382812	
-4.68769	0.757274	-4.81428	0.419174	
-4.92832	0.779176	-4.81363	0.45716	
-5.1689	0.803017	-4.81263	0.496763	
-5.40943	0.828877	-4.81122	0.537976	
-5.64986	0.856837	-4.80937	0.580791	
-5.8902	0.886977	-4.80703	0.625197	
-6.1304	0.919375	-4.80415	0.671184	
-6.37044	0.954111	-4.8007	0.718741	
-6.61028	0.991262	-4.79662	0.767854	
-6.84991	1.03091	-4.79187	0.818509	
-7.08928	1.07312	-4.78638	0.87069	
-7.32835	1.11798	-4.78012	0.92438	
-7.56709	1.16556	-4.77304	0.979561	
-7.80545	1.21593	-4.76506	1.03621	
-8.04339	1.26918	-4.75615	1.09431	
-8.28085	1.32536	-4.74625	1.15383	
-8.51779	1.38455	-4.7353	1.21475	
-8.75416	1.44681	-4.72324	1.27704	
-8.98989	1.51223	-4.71002	1.34067	
-9.22493	1.58085	-4.69558	1.40561	
-9.45921	1.65276	-4.67987	1.47183	
-9.69268	1.728	-4.66282	1.53929	
-9.92526	1.80665	-4.64437	1.60795	
-10.1569	1.88875	-4.62448	1.67776	
-10.3875	1.97438	-4.60307	1.7487	
-10.6169	2.06357	-4.58009	1.82071	
-10.8452	2.15639	-4.55549	1.89375	
-11.0722	2.25288	-4.52921	1.96776	
-11.2979	2.35309	-4.50118	2.04269	
-11.5221	2.45707	-4.47136	2.11849	
-11.7448	2.56486	-4.43968	2.1951	
-11.9658	2.6765	-4.4061	2.27246	
-12.1851	2.79202	-4.37055	2.35051	
-12.4026	2.91145	-4.333	2.42918	
-12.6182	3.03483	-4.29338	2.5084	
-12.8317	3.16218	-4.25165	2.5881	
-13.0431	3.29353	-4.20776	2.66821	
-13.2522	3.42888	-4.16167	2.74865	
-13.459	3.56827	-4.11333	2.82935	
-13.6633	3.71169	-4.0627	2.91022	
-13.865	3.85915	-4.00974	2.99118	
-14.064	4.01066	-3.95441	3.07214	
-14.2602	4.16622	-3.89669	3.15303	
-14.4535	4.32581	-3.83653	3.23373	
-14.6436	4.48943	-3.77392	3.31417	
-14.8306	4.65706	-3.70883	3.39425	
-15.0143	4.82869	-3.64123	3.47388	
-15.1945	5.00428	-3.5711	3.55294	
-15.3712	5.1838	-3.49844	3.63135	
-15.5441	5.36723	-3.42323	3.70901	
-15.7133	5.55452	-3.34546	3.78581	
-15.8785	5.74562	-3.26513	3.86164	
-16.0396	5.94048	-3.18223	3.9364	
-16.1965	6.13906	-3.09679	4.00999	
-16.3491	6.34128	-3.00879	4.08229	
-16.4972	6.54708	-2.91826	4.1532	
-16.6407	6.75639	-2.82522	4.22261	
-16.7795	6.96912	-2.72968	4.29042	
-16.9135	7.18521	-2.63167	4.3565	
-17.0425	7.40456	-2.53122	4.42077	
-17.1665	7.62707	-2.42838	4.4831	
-17.2852	7.85264	-2.32317	4.54339	
-17.3986	8.08118	-2.21565	4.60153	
-17.5066	8.31257	-2.10586	4.65742	
-17.6091	8.54669	-1.99386	4.71095	
-17.7059	8.78343	-1.87971	4.76202	
-17.797	9.02267	-1.76348	4.81052	
-17.8822	9.26426	-1.64522	4.85637	
-17.9614	9.50807	-1.52502	4.89946	
-18.0346	9.75398	-1.40296	4.9397	
-18.1016	10.0018	-1.27911	4.97699	
-18.1624	10.2515	-1.15357	5.01125	
-18.2169	10.5027	-1.02642	5.04239	
-18.265	10.7555	-0.897764	5.07032	
-18.3066	11.0095	-0.767697	5.09498	
-18.3417	11.2647	-0.636323	5.11627	
-18.3702	11.5209	-0.503751	5.13414	
-18.392	11.778	-0.370091	5.14852	
-18.4072	12.0356	-0.235457	5.15934	
-18.4156	12.2937	-0.099968	5.16654	
-18.4171	12.552	0.0362564	5.17007	
-18.4119	12.8105	0.173093	5.16989	
-18.3998	13.0688	0.310414	5.16594	
-18.3809	13.3269	0.448093	5.1582	
-18.355	13.5845	0.585998	5.14663	
-18.3223	13.8414	0.723997	5.1312	
-18.2826	14.0974	0.861956	5.11189	
-18.2361	14.3524	0.999739	5.08868	
-18.1827	14.6061	1.13721	5.06157	
-18.1224	14.8584	1.27423	5.03055	
-18.0553	15.1091	1.41067	4.99562	
-17.9814	15.3578	1.54638	4.95679	
-17.9007	15.6046	1.68122	4.91408	
